TEST	TRAIT	NTOTAL	VARIABLE	TYPE	NGENES	BETA	BETA_STD	SE	P
Conditional	height	1690	DYRK1A	SET	567	0.17675	0.083481	0.10864	0.051978
Global	height	18079	DYRK1A	SET	567	0.066726	0.01163	0.081903	0.20763
Conditional	height	965	GIGYF1	SET	31	-0.18157	-0.032033	0.40766	0.67193
Global	height	18079	GIGYF1	SET	31	0.074581	0.0030857	0.33479	0.41186
Conditional	height	1229	MED13L	SET	41	0.28308	0.050855	0.33558	0.19955
Global	height	18079	MED13L	SET	41	0.025122	0.001195	0.31947	0.46866
Conditional	height	229	PTEN	SET	3	-0.57314	-0.065311	1.3139	0.66844
Global	height	18079	PTEN	SET	3	-0.044711	-0.00057592	1.3718	0.513
Conditional	height	873	SCN2A	SET	56	-0.053197	-0.013041	0.31563	0.5669
Global	height	18079	SCN2A	SET	56	0.029775	0.0016546	0.27635	0.4571
Conditional	height	1816	SHANK3	SET	121	0.26145	0.065217	0.21162	0.10841
Global	height	18079	SHANK3	SET	121	0.017485	0.0014257	0.18906	0.46316
Conditional	height	1167	SYNGAP1	SET	128	0.17431	0.054494	0.20135	0.19342
Global	height	18079	SYNGAP1	SET	128	0.097422	0.0081685	0.175	0.28887
Conditional	height	1502	TLK2	SET	52	-0.023227	-0.0042477	0.30432	0.53041
Global	height	18079	TLK2	SET	52	-0.16463	-0.0088166	0.25737	0.73879
Conditional	height	3071	COMBINED	SET	953	0.057631	0.026666	0.078719	0.23208
Global	height	18067	COMBINED	SET	953	0.044045	0.0098456	0.064261	0.24655
Conditional	height	1228	ADNP_noInWeb	SET	11	0.93766	0.088383	0.64221	0.072275
Global	height	18079	ADNP_noInWeb	SET	11	0.72913	0.01798	0.60161	0.11277
Conditional	height	1612	ANK2_noInWeb	SET	95	-0.01604	-0.0037785	0.23478	0.52723
Global	height	18079	ANK2_noInWeb	SET	95	-0.068737	-0.0049697	0.19578	0.63724
Conditional	height	1468	ARID1B_noInWeb	SET	31	-0.15596	-0.02243	0.40457	0.65003
Global	height	18079	ARID1B_noInWeb	SET	31	-0.068717	-0.0028431	0.3195	0.58514
Conditional	height	1480	CHD8_noInWeb	SET	79	-0.037331	-0.0083943	0.24729	0.55998
Global	height	18079	CHD8_noInWeb	SET	79	0.058409	0.0038527	0.21687	0.39384
Conditional	height	1468	CTNNB1_noInWeb	SET	10	-1.6038	-0.13196	0.81841	0.97488
Global	height	18079	CTNNB1_noInWeb	SET	10	-0.12387	-0.0029125	0.58408	0.58397
Conditional	height	1652	DYRK1A_noInWeb	SET	529	0.19308	0.090108	0.11301	0.043871
Global	height	18079	DYRK1A_noInWeb	SET	529	0.048961	0.0082518	0.085635	0.28376
Conditional	height	965	GIGYF1_noInWeb	SET	31	-0.18157	-0.032033	0.40766	0.67193
Global	height	18079	GIGYF1_noInWeb	SET	31	0.074581	0.0030857	0.33479	0.41186
Conditional	height	1219	MED13L_noInWeb	SET	31	0.043174	0.0067996	0.37617	0.45432
Global	height	18079	MED13L_noInWeb	SET	31	0.15945	0.0065973	0.36724	0.33208
Conditional	height	228	PTEN_noInWeb	SET	2	-0.17976	-0.016799	1.6086	0.54444
Global	height	18079	PTEN_noInWeb	SET	2	0.13212	0.0013896	1.5261	0.46551
Conditional	height	872	SCN2A_noInWeb	SET	55	0.0010027	0.00024388	0.31809	0.49874
Global	height	18079	SCN2A_noInWeb	SET	55	0.072768	0.0040076	0.27878	0.39704
Conditional	height	1814	SHANK3_noInWeb	SET	119	0.26581	0.065829	0.21682	0.1102
Global	height	18079	SHANK3_noInWeb	SET	119	0.021121	0.001708	0.19215	0.45624
Conditional	height	1166	SYNGAP1_noInWeb	SET	127	0.15099	0.047058	0.20189	0.22735
Global	height	18079	SYNGAP1_noInWeb	SET	127	0.077373	0.0064623	0.17568	0.32982
Conditional	height	1501	TLK2_noInWeb	SET	51	-0.088602	-0.016057	0.30668	0.61365
Global	height	18079	TLK2_noInWeb	SET	51	-0.17747	-0.0094128	0.26514	0.74835
Conditional	height	3007	COMBINED_noInWeb	SET	889	0.051016	0.023284	0.081758	0.26634
Global	height	18067	COMBINED_noInWeb	SET	888	0.053084	0.011476	0.066979	0.21403
Conditional	height	16152	InWeb	SET	1560	0.19408	0.057332	0.053258	0.00013475
Global	height	18067	InWeb	SET	1560	0.20847	0.058556	0.053359	4.6997e-05
