Specificity	GO_CC	Population	SpecificInts	CC	Overlap	Pvalue	OverlapGenes
WT	trans-Golgi network transport vesicle	232	5	0	0	1	
KO	trans-Golgi network transport vesicle	232	43	0	0	1	
WT	platelet dense granule membrane	232	5	0	0	1	
KO	platelet dense granule membrane	232	43	0	0	1	
WT	multivesicular body membrane	232	5	0	0	1	
KO	multivesicular body membrane	232	43	0	0	1	
WT	anchored component of synaptic vesicle membrane	232	5	0	0	1	
KO	anchored component of synaptic vesicle membrane	232	43	0	0	1	
WT	axon cytoplasm	232	5	4	0	1	
KO	axon cytoplasm	232	43	4	2	0.157284458207577	DST,KIF5C
WT	AP-3 adaptor complex	232	5	0	0	1	
KO	AP-3 adaptor complex	232	43	0	0	1	
WT	clathrin-coated vesicle membrane	232	5	0	0	1	
KO	clathrin-coated vesicle membrane	232	43	0	0	1	
WT	ruffle	232	5	5	0	1	
KO	ruffle	232	43	5	1	0.64473878034552	LIMA1
WT	external side of plasma membrane	232	5	0	0	1	
KO	external side of plasma membrane	232	43	0	0	1	
WT	intrinsic component of plasma membrane	232	5	0	0	1	
KO	intrinsic component of plasma membrane	232	43	0	0	1	
WT	receptor complex	232	5	1	0	1	
KO	receptor complex	232	43	1	0	1	
WT	lipopolysaccharide receptor complex	232	5	0	0	1	
KO	lipopolysaccharide receptor complex	232	43	0	0	1	
WT	presynaptic membrane	232	5	1	0	1	
KO	presynaptic membrane	232	43	1	0	1	
WT	neuronal cell body	232	5	12	1	0.235040144832203	PSD2
KO	neuronal cell body	232	43	12	1	0.920109107579242	KIF5C
WT	main axon	232	5	1	0	1	
KO	main axon	232	43	1	0	1	
WT	growth cone lamellipodium	232	5	1	0	1	
KO	growth cone lamellipodium	232	43	1	0	1	
WT	growth cone filopodium	232	5	0	0	1	
KO	growth cone filopodium	232	43	0	0	1	
WT	mitochondrial respiratory chain complex I	232	5	0	0	1	
KO	mitochondrial respiratory chain complex I	232	43	0	0	1	
WT	hyaluranon cable	232	5	0	0	1	
KO	hyaluranon cable	232	43	0	0	1	
WT	proteasome complex	232	5	0	0	1	
KO	proteasome complex	232	43	0	0	1	
WT	proteasome accessory complex	232	5	0	0	1	
KO	proteasome accessory complex	232	43	0	0	1	
WT	secretory granule lumen	232	5	3	0	1	
KO	secretory granule lumen	232	43	3	1	0.460944527736132	PPIA
WT	ficolin-1-rich granule lumen	232	5	4	0	1	
KO	ficolin-1-rich granule lumen	232	43	4	1	0.562164550912317	PPIA
WT	proteasome regulatory particle	232	5	0	0	1	
KO	proteasome regulatory particle	232	43	0	0	1	
WT	proteasome regulatory particle, base subcomplex	232	5	0	0	1	
KO	proteasome regulatory particle, base subcomplex	232	43	0	0	1	
WT	endoplasmic reticulum quality control compartment	232	5	0	0	1	
KO	endoplasmic reticulum quality control compartment	232	43	0	0	1	
WT	HFE-transferrin receptor complex	232	5	0	0	1	
KO	HFE-transferrin receptor complex	232	43	0	0	1	
WT	secretory granule membrane	232	5	0	0	1	
KO	secretory granule membrane	232	43	0	0	1	
WT	Golgi lumen	232	5	0	0	1	
KO	Golgi lumen	232	43	0	0	1	
WT	chromatin	232	5	1	0	1	
KO	chromatin	232	43	1	1	0.185344827586207	BASP1
WT	endoplasmic reticulum lumen	232	5	7	1	0.143193963704302	TIMP1
KO	endoplasmic reticulum lumen	232	43	7	3	0.12066234856019	LAMC1,HSPA5,RCN2
WT	nuclear matrix	232	5	6	0	1	
KO	nuclear matrix	232	43	6	4	0.0117322709275639	PHB2,SORBS1,CFL1,BASP1
WT	histone methyltransferase complex	232	5	0	0	1	
KO	histone methyltransferase complex	232	43	0	0	1	
WT	PcG protein complex	232	5	0	0	1	
KO	PcG protein complex	232	43	0	0	1	
WT	PRC1 complex	232	5	0	0	1	
KO	PRC1 complex	232	43	0	0	1	
WT	smooth endoplasmic reticulum membrane	232	5	0	0	1	
KO	smooth endoplasmic reticulum membrane	232	43	0	0	1	
WT	cell body	232	5	5	0	1	
KO	cell body	232	43	5	2	0.231867633179503	HSPA1L,TUBB
WT	DSIF complex	232	5	0	0	1	
KO	DSIF complex	232	43	0	0	1	
WT	transcription factor TFIID complex	232	5	0	0	1	
KO	transcription factor TFIID complex	232	43	0	0	1	
WT	transcription factor TFTC complex	232	5	0	0	1	
KO	transcription factor TFTC complex	232	43	0	0	1	
WT	MLL1 complex	232	5	0	0	1	
KO	MLL1 complex	232	43	0	0	1	
WT	clathrin-coated vesicle	232	5	0	0	1	
KO	clathrin-coated vesicle	232	43	0	0	1	
WT	extrinsic component of presynaptic membrane	232	5	0	0	1	
KO	extrinsic component of presynaptic membrane	232	43	0	0	1	
WT	platelet alpha granule lumen	232	5	2	1	0.0427302582474995	TIMP1
KO	platelet alpha granule lumen	232	43	2	0	1	
WT	axon terminus	232	5	0	0	1	
KO	axon terminus	232	43	0	0	1	
WT	vesicle	232	5	11	0	1	
KO	vesicle	232	43	11	4	0.125109784271115	PPIA,CFL1,CALM3,BASP1
WT	eukaryotic translation initiation factor 3 complex	232	5	0	0	1	
KO	eukaryotic translation initiation factor 3 complex	232	43	0	0	1	
WT	voltage-gated calcium channel complex	232	5	0	0	1	
KO	voltage-gated calcium channel complex	232	43	0	0	1	
WT	cytoplasmic side of plasma membrane	232	5	2	0	1	
KO	cytoplasmic side of plasma membrane	232	43	2	1	0.336990595611285	RNF31
WT	ubiquitin ligase complex	232	5	2	0	1	
KO	ubiquitin ligase complex	232	43	2	2	0.0336990595611285	MED30,LMO7
WT	intercellular bridge	232	5	1	0	1	
KO	intercellular bridge	232	43	1	0	1	
WT	apical plasma membrane urothelial plaque	232	5	0	0	1	
KO	apical plasma membrane urothelial plaque	232	43	0	0	1	
WT	PML body	232	5	1	0	1	
KO	PML body	232	43	1	1	0.185344827586207	BASP1
WT	chromatoid body	232	5	0	0	1	
KO	chromatoid body	232	43	0	0	1	
WT	phosphatidylinositol 3-kinase complex	232	5	0	0	1	
KO	phosphatidylinositol 3-kinase complex	232	43	0	0	1	
WT	pyruvate dehydrogenase complex	232	5	0	0	1	
KO	pyruvate dehydrogenase complex	232	43	0	0	1	
WT	specific granule lumen	232	5	1	0	1	
KO	specific granule lumen	232	43	1	0	1	
WT	tertiary granule lumen	232	5	1	0	1	
KO	tertiary granule lumen	232	43	1	0	1	
WT	dynactin complex	232	5	0	0	1	
KO	dynactin complex	232	43	0	0	1	
WT	actin cap	232	5	0	0	1	
KO	actin cap	232	43	0	0	1	
WT	endocytic vesicle membrane	232	5	2	0	1	
KO	endocytic vesicle membrane	232	43	2	0	1	
WT	mitochondrial nucleoid	232	5	1	0	1	
KO	mitochondrial nucleoid	232	43	1	0	1	
WT	histone deacetylase complex	232	5	0	0	1	
KO	histone deacetylase complex	232	43	0	0	1	
WT	ASAP complex	232	5	0	0	1	
KO	ASAP complex	232	43	0	0	1	
WT	exon-exon junction complex	232	5	0	0	1	
KO	exon-exon junction complex	232	43	0	0	1	
WT	mitotic spindle pole	232	5	0	0	1	
KO	mitotic spindle pole	232	43	0	0	1	
WT	mitotic spindle midzone	232	5	1	0	1	
KO	mitotic spindle midzone	232	43	1	0	1	
WT	clathrin-coated pit	232	5	2	0	1	
KO	clathrin-coated pit	232	43	2	0	1	
WT	synaptic vesicle membrane	232	5	1	0	1	
KO	synaptic vesicle membrane	232	43	1	1	0.185344827586207	CALM3
WT	presynaptic endocytic zone membrane	232	5	0	0	1	
KO	presynaptic endocytic zone membrane	232	43	0	0	1	
WT	mitochondrion-derived vesicle	232	5	0	0	1	
KO	mitochondrion-derived vesicle	232	43	0	0	1	
WT	XY body	232	5	0	0	1	
KO	XY body	232	43	0	0	1	
WT	integral component of neuronal dense core vesicle membrane	232	5	0	0	1	
KO	integral component of neuronal dense core vesicle membrane	232	43	0	0	1	
WT	proximal neuron projection	232	5	1	0	1	
KO	proximal neuron projection	232	43	1	0	1	
WT	cis-Golgi network	232	5	1	0	1	
KO	cis-Golgi network	232	43	1	1	0.185344827586207	MAP6
WT	transport vesicle	232	5	1	0	1	
KO	transport vesicle	232	43	1	0	1	
WT	endocytic vesicle	232	5	0	0	1	
KO	endocytic vesicle	232	43	0	0	1	
WT	azurophil granule membrane	232	5	0	0	1	
KO	azurophil granule membrane	232	43	0	0	1	
WT	lysosomal lumen	232	5	3	0	1	
KO	lysosomal lumen	232	43	3	1	0.460944527736132	GALC
WT	CD40 receptor complex	232	5	1	0	1	
KO	CD40 receptor complex	232	43	1	1	0.185344827586207	RNF31
WT	rough endoplasmic reticulum membrane	232	5	0	0	1	
KO	rough endoplasmic reticulum membrane	232	43	0	0	1	
WT	transcription elongation factor complex	232	5	0	0	1	
KO	transcription elongation factor complex	232	43	0	0	1	
WT	RNA polymerase II transcription factor complex	232	5	0	0	1	
KO	RNA polymerase II transcription factor complex	232	43	0	0	1	
WT	mitochondrial respiratory chain complex IV	232	5	0	0	1	
KO	mitochondrial respiratory chain complex IV	232	43	0	0	1	
WT	proteasome regulatory particle, lid subcomplex	232	5	0	0	1	
KO	proteasome regulatory particle, lid subcomplex	232	43	0	0	1	
WT	cytosolic proteasome complex	232	5	0	0	1	
KO	cytosolic proteasome complex	232	43	0	0	1	
WT	I band	232	5	1	0	1	
KO	I band	232	43	1	0	1	
WT	node of Ranvier	232	5	0	0	1	
KO	node of Ranvier	232	43	0	0	1	
WT	lipid tube	232	5	0	0	1	
KO	lipid tube	232	43	0	0	1	
WT	cell-cell junction	232	5	7	0	1	
KO	cell-cell junction	232	43	7	1	0.766824767295512	CFL1
WT	cortical actin cytoskeleton	232	5	5	0	1	
KO	cortical actin cytoskeleton	232	43	5	1	0.64473878034552	CFL1
WT	beta-catenin-TCF complex	232	5	1	0	1	
KO	beta-catenin-TCF complex	232	43	1	0	1	
WT	organelle membrane	232	5	0	0	1	
KO	organelle membrane	232	43	0	0	1	
WT	apical part of cell	232	5	5	0	1	
KO	apical part of cell	232	43	5	1	0.64473878034552	TJP1
WT	condensed chromosome	232	5	0	0	1	
KO	condensed chromosome	232	43	0	0	1	
WT	preribosome, large subunit precursor	232	5	1	0	1	
KO	preribosome, large subunit precursor	232	43	1	0	1	
WT	PeBoW complex	232	5	0	0	1	
KO	PeBoW complex	232	43	0	0	1	
WT	interleukin-5 receptor complex	232	5	0	0	1	
KO	interleukin-5 receptor complex	232	43	0	0	1	
WT	azurophil granule lumen	232	5	3	0	1	
KO	azurophil granule lumen	232	43	3	1	0.460944527736132	TUBB
WT	extracellular vesicle	232	5	5	0	1	
KO	extracellular vesicle	232	43	5	1	0.64473878034552	TUBB2A
WT	lipid droplet	232	5	1	0	1	
KO	lipid droplet	232	43	1	0	1	
WT	small nucleolar ribonucleoprotein complex	232	5	0	0	1	
KO	small nucleolar ribonucleoprotein complex	232	43	0	0	1	
WT	box C/D snoRNP complex	232	5	0	0	1	
KO	box C/D snoRNP complex	232	43	0	0	1	
WT	pre-snoRNP complex	232	5	0	0	1	
KO	pre-snoRNP complex	232	43	0	0	1	
WT	NLRP3 inflammasome complex	232	5	0	0	1	
KO	NLRP3 inflammasome complex	232	43	0	0	1	
WT	cytosolic small ribosomal subunit	232	5	25	0	1	
KO	cytosolic small ribosomal subunit	232	43	25	0	1	
WT	actin filament	232	5	11	0	1	
KO	actin filament	232	43	11	0	1	
WT	microvillus membrane	232	5	2	0	1	
KO	microvillus membrane	232	43	2	0	1	
WT	slit diaphragm	232	5	0	0	1	
KO	slit diaphragm	232	43	0	0	1	
WT	extrinsic component of external side of plasma membrane	232	5	0	0	1	
KO	extrinsic component of external side of plasma membrane	232	43	0	0	1	
WT	integral component of peroxisomal membrane	232	5	0	0	1	
KO	integral component of peroxisomal membrane	232	43	0	0	1	
WT	sarcoplasmic reticulum membrane	232	5	1	0	1	
KO	sarcoplasmic reticulum membrane	232	43	1	0	1	
WT	cerebellar mossy fiber	232	5	0	0	1	
KO	cerebellar mossy fiber	232	43	0	0	1	
WT	Schaffer collateral - CA1 synapse	232	5	7	0	1	
KO	Schaffer collateral - CA1 synapse	232	43	7	2	0.383296105852611	BCR,TUBB2B
WT	anaphase-promoting complex	232	5	0	0	1	
KO	anaphase-promoting complex	232	43	0	0	1	
WT	endoplasmic reticulum-Golgi intermediate compartment membrane	232	5	0	0	1	
KO	endoplasmic reticulum-Golgi intermediate compartment membrane	232	43	0	0	1	
WT	endoplasmic reticulum exit site	232	5	0	0	1	
KO	endoplasmic reticulum exit site	232	43	0	0	1	
WT	SWI/SNF complex	232	5	1	0	1	
KO	SWI/SNF complex	232	43	1	0	1	
WT	brahma complex	232	5	0	0	1	
KO	brahma complex	232	43	0	0	1	
WT	npBAF complex	232	5	0	0	1	
KO	npBAF complex	232	43	0	0	1	
WT	nBAF complex	232	5	0	0	1	
KO	nBAF complex	232	43	0	0	1	
WT	mitochondrial envelope	232	5	0	0	1	
KO	mitochondrial envelope	232	43	0	0	1	
WT	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	232	5	0	0	1	
KO	mitochondrial respiratory chain complex II, succinate dehydrogenase complex (ubiquinone)	232	43	0	0	1	
WT	cortical endoplasmic reticulum	232	5	0	0	1	
KO	cortical endoplasmic reticulum	232	43	0	0	1	
WT	cytoplasmic side of apical plasma membrane	232	5	0	0	1	
KO	cytoplasmic side of apical plasma membrane	232	43	0	0	1	
WT	mitochondrial large ribosomal subunit	232	5	0	0	1	
KO	mitochondrial large ribosomal subunit	232	43	0	0	1	
WT	kinetochore	232	5	1	0	1	
KO	kinetochore	232	43	1	0	1	
WT	cytoplasmic dynein complex	232	5	1	0	1	
KO	cytoplasmic dynein complex	232	43	1	0	1	
WT	COPI vesicle coat	232	5	0	0	1	
KO	COPI vesicle coat	232	43	0	0	1	
WT	heterotrimeric G-protein complex	232	5	1	0	1	
KO	heterotrimeric G-protein complex	232	43	1	0	1	
WT	Wnt signalosome	232	5	1	0	1	
KO	Wnt signalosome	232	43	1	0	1	
WT	aggresome	232	5	0	0	1	
KO	aggresome	232	43	0	0	1	
WT	clathrin-coated endocytic vesicle	232	5	0	0	1	
KO	clathrin-coated endocytic vesicle	232	43	0	0	1	
WT	dynein complex	232	5	1	0	1	
KO	dynein complex	232	43	1	0	1	
WT	9+2 motile cilium	232	5	0	0	1	
KO	9+2 motile cilium	232	43	0	0	1	
WT	ER to Golgi transport vesicle membrane	232	5	1	0	1	
KO	ER to Golgi transport vesicle membrane	232	43	1	0	1	
WT	synaptic vesicle	232	5	0	0	1	
KO	synaptic vesicle	232	43	0	0	1	
WT	secretory granule	232	5	1	0	1	
KO	secretory granule	232	43	1	0	1	
WT	extrinsic component of endoplasmic reticulum membrane	232	5	0	0	1	
KO	extrinsic component of endoplasmic reticulum membrane	232	43	0	0	1	
WT	integral component of synaptic vesicle membrane	232	5	0	0	1	
KO	integral component of synaptic vesicle membrane	232	43	0	0	1	
WT	Golgi cisterna	232	5	0	0	1	
KO	Golgi cisterna	232	43	0	0	1	
WT	Golgi-associated vesicle	232	5	1	0	1	
KO	Golgi-associated vesicle	232	43	1	1	0.185344827586207	MAP6
WT	pore complex	232	5	0	0	1	
KO	pore complex	232	43	0	0	1	
WT	perinuclear endoplasmic reticulum	232	5	0	0	1	
KO	perinuclear endoplasmic reticulum	232	43	0	0	1	
WT	tetraspanin-enriched microdomain	232	5	0	0	1	
KO	tetraspanin-enriched microdomain	232	43	0	0	1	
WT	ATP-binding cassette (ABC) transporter complex	232	5	0	0	1	
KO	ATP-binding cassette (ABC) transporter complex	232	43	0	0	1	
WT	Cul3-RING ubiquitin ligase complex	232	5	0	0	1	
KO	Cul3-RING ubiquitin ligase complex	232	43	0	0	1	
WT	nuclear envelope lumen	232	5	1	0	1	
KO	nuclear envelope lumen	232	43	1	1	0.185344827586207	TUBB
WT	MLL3/4 complex	232	5	0	0	1	
KO	MLL3/4 complex	232	43	0	0	1	
WT	apoptosome	232	5	0	0	1	
KO	apoptosome	232	43	0	0	1	
WT	preribosome, small subunit precursor	232	5	0	0	1	
KO	preribosome, small subunit precursor	232	43	0	0	1	
WT	methylosome	232	5	0	0	1	
KO	methylosome	232	43	0	0	1	
WT	telomerase catalytic core complex	232	5	0	0	1	
KO	telomerase catalytic core complex	232	43	0	0	1	
WT	chromosome, telomeric region	232	5	0	0	1	
KO	chromosome, telomeric region	232	43	0	0	1	
WT	nuclear telomere cap complex	232	5	0	0	1	
KO	nuclear telomere cap complex	232	43	0	0	1	
WT	telomerase holoenzyme complex	232	5	0	0	1	
KO	telomerase holoenzyme complex	232	43	0	0	1	
WT	RNA-directed RNA polymerase complex	232	5	0	0	1	
KO	RNA-directed RNA polymerase complex	232	43	0	0	1	
WT	TERT-RMRP complex	232	5	0	0	1	
KO	TERT-RMRP complex	232	43	0	0	1	
WT	condensed nuclear chromosome	232	5	1	0	1	
KO	condensed nuclear chromosome	232	43	1	0	1	
WT	GABA-ergic synapse	232	5	2	0	1	
KO	GABA-ergic synapse	232	43	2	1	0.336990595611285	PHB2
WT	integral component of postsynaptic membrane	232	5	0	0	1	
KO	integral component of postsynaptic membrane	232	43	0	0	1	
WT	GTPase activator complex	232	5	0	0	1	
KO	GTPase activator complex	232	43	0	0	1	
WT	chromosome, centromeric region	232	5	0	0	1	
KO	chromosome, centromeric region	232	43	0	0	1	
WT	condensed nuclear chromosome outer kinetochore	232	5	0	0	1	
KO	condensed nuclear chromosome outer kinetochore	232	43	0	0	1	
WT	Ndc80 complex	232	5	0	0	1	
KO	Ndc80 complex	232	43	0	0	1	
WT	semaphorin receptor complex	232	5	0	0	1	
KO	semaphorin receptor complex	232	43	0	0	1	
WT	neurofilament	232	5	4	0	1	
KO	neurofilament	232	43	4	1	0.562164550912317	NEFM
WT	sorting endosome	232	5	0	0	1	
KO	sorting endosome	232	43	0	0	1	
WT	intrinsic component of membrane	232	5	0	0	1	
KO	intrinsic component of membrane	232	43	0	0	1	
WT	very-low-density lipoprotein particle	232	5	0	0	1	
KO	very-low-density lipoprotein particle	232	43	0	0	1	
WT	high-density lipoprotein particle	232	5	0	0	1	
KO	high-density lipoprotein particle	232	43	0	0	1	
WT	early phagosome	232	5	0	0	1	
KO	early phagosome	232	43	0	0	1	
WT	terminal bouton	232	5	1	0	1	
KO	terminal bouton	232	43	1	0	1	
WT	calyx of Held	232	5	1	0	1	
KO	calyx of Held	232	43	1	0	1	
WT	presynaptic active zone	232	5	1	0	1	
KO	presynaptic active zone	232	43	1	1	0.185344827586207	PHB2
WT	ribbon synapse	232	5	0	0	1	
KO	ribbon synapse	232	43	0	0	1	
WT	hippocampal mossy fiber to CA3 synapse	232	5	0	0	1	
KO	hippocampal mossy fiber to CA3 synapse	232	43	0	0	1	
WT	RNA polymerase III complex	232	5	0	0	1	
KO	RNA polymerase III complex	232	43	0	0	1	
WT	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex	232	5	0	0	1	
KO	synaptobrevin 2-SNAP-25-syntaxin-1a-complexin I complex	232	43	0	0	1	
WT	synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex	232	5	0	0	1	
KO	synaptobrevin 2-SNAP-25-syntaxin-3-complexin complex	232	43	0	0	1	
WT	proteasome core complex	232	5	0	0	1	
KO	proteasome core complex	232	43	0	0	1	
WT	proteasome core complex, alpha-subunit complex	232	5	0	0	1	
KO	proteasome core complex, alpha-subunit complex	232	43	0	0	1	
WT	AIM2 inflammasome complex	232	5	0	0	1	
KO	AIM2 inflammasome complex	232	43	0	0	1	
WT	mitochondrial alpha-ketoglutarate dehydrogenase complex	232	5	0	0	1	
KO	mitochondrial alpha-ketoglutarate dehydrogenase complex	232	43	0	0	1	
WT	spliceosomal complex	232	5	6	0	1	
KO	spliceosomal complex	232	43	6	1	0.712034958517955	WDR83
WT	SMN complex	232	5	0	0	1	
KO	SMN complex	232	43	0	0	1	
WT	SMN-Sm protein complex	232	5	0	0	1	
KO	SMN-Sm protein complex	232	43	0	0	1	
WT	Gemini of coiled bodies	232	5	0	0	1	
KO	Gemini of coiled bodies	232	43	0	0	1	
WT	vesicle membrane	232	5	0	0	1	
KO	vesicle membrane	232	43	0	0	1	
WT	dendritic shaft	232	5	1	0	1	
KO	dendritic shaft	232	43	1	0	1	
WT	integral component of presynaptic membrane	232	5	0	0	1	
KO	integral component of presynaptic membrane	232	43	0	0	1	
WT	IkappaB kinase complex	232	5	0	0	1	
KO	IkappaB kinase complex	232	43	0	0	1	
WT	TIM23 mitochondrial import inner membrane translocase complex	232	5	0	0	1	
KO	TIM23 mitochondrial import inner membrane translocase complex	232	43	0	0	1	
WT	integral component of mitochondrial inner membrane	232	5	0	0	1	
KO	integral component of mitochondrial inner membrane	232	43	0	0	1	
WT	nuclear lamina	232	5	0	0	1	
KO	nuclear lamina	232	43	0	0	1	
WT	myosin II complex	232	5	3	0	1	
KO	myosin II complex	232	43	3	0	1	
WT	cell cortex region	232	5	2	0	1	
KO	cell cortex region	232	43	2	0	1	
WT	respirasome	232	5	0	0	1	
KO	respirasome	232	43	0	0	1	
WT	junctional sarcoplasmic reticulum membrane	232	5	0	0	1	
KO	junctional sarcoplasmic reticulum membrane	232	43	0	0	1	
WT	junctional membrane complex	232	5	0	0	1	
KO	junctional membrane complex	232	43	0	0	1	
WT	sarcoplasmic reticulum lumen	232	5	0	0	1	
KO	sarcoplasmic reticulum lumen	232	43	0	0	1	
WT	calcium channel complex	232	5	1	0	1	
KO	calcium channel complex	232	43	1	1	0.185344827586207	CALM3
WT	ESCRT-0 complex	232	5	0	0	1	
KO	ESCRT-0 complex	232	43	0	0	1	
WT	spindle pole centrosome	232	5	1	0	1	
KO	spindle pole centrosome	232	43	1	0	1	
WT	germinal vesicle	232	5	0	0	1	
KO	germinal vesicle	232	43	0	0	1	
WT	axon hillock	232	5	1	0	1	
KO	axon hillock	232	43	1	0	1	
WT	pronucleus	232	5	0	0	1	
KO	pronucleus	232	43	0	0	1	
WT	meiotic spindle	232	5	0	0	1	
KO	meiotic spindle	232	43	0	0	1	
WT	vacuole	232	5	1	0	1	
KO	vacuole	232	43	1	0	1	
WT	symbiont-containing vacuole	232	5	0	0	1	
KO	symbiont-containing vacuole	232	43	0	0	1	
WT	intracellular vesicle	232	5	0	0	1	
KO	intracellular vesicle	232	43	0	0	1	
WT	A band	232	5	1	0	1	
KO	A band	232	43	1	0	1	
WT	PTW/PP1 phosphatase complex	232	5	3	0	1	
KO	PTW/PP1 phosphatase complex	232	43	3	0	1	
WT	annulate lamellae	232	5	0	0	1	
KO	annulate lamellae	232	43	0	0	1	
WT	Cajal body	232	5	1	0	1	
KO	Cajal body	232	43	1	0	1	
WT	platelet dense tubular network membrane	232	5	0	0	1	
KO	platelet dense tubular network membrane	232	43	0	0	1	
WT	uropod	232	5	1	0	1	
KO	uropod	232	43	1	0	1	
WT	integrator complex	232	5	0	0	1	
KO	integrator complex	232	43	0	0	1	
WT	spectrin	232	5	3	0	1	
KO	spectrin	232	43	3	0	1	
WT	parallel fiber to Purkinje cell synapse	232	5	1	0	1	
KO	parallel fiber to Purkinje cell synapse	232	43	1	0	1	
WT	postsynaptic spectrin-associated cytoskeleton	232	5	1	0	1	
KO	postsynaptic spectrin-associated cytoskeleton	232	43	1	0	1	
WT	Set1C/COMPASS complex	232	5	0	0	1	
KO	Set1C/COMPASS complex	232	43	0	0	1	
WT	costamere	232	5	1	0	1	
KO	costamere	232	43	1	0	1	
WT	neurofilament cytoskeleton	232	5	0	0	1	
KO	neurofilament cytoskeleton	232	43	0	0	1	
WT	plus-end kinesin complex	232	5	0	0	1	
KO	plus-end kinesin complex	232	43	0	0	1	
WT	kinesin II complex	232	5	0	0	1	
KO	kinesin II complex	232	43	0	0	1	
WT	photoreceptor connecting cilium	232	5	0	0	1	
KO	photoreceptor connecting cilium	232	43	0	0	1	
WT	MKS complex	232	5	0	0	1	
KO	MKS complex	232	43	0	0	1	
WT	gamma-tubulin complex	232	5	0	0	1	
KO	gamma-tubulin complex	232	43	0	0	1	
WT	cytoplasmic microtubule	232	5	1	0	1	
KO	cytoplasmic microtubule	232	43	1	1	0.185344827586207	TUBA1A
WT	presynaptic active zone cytoplasmic component	232	5	1	0	1	
KO	presynaptic active zone cytoplasmic component	232	43	1	0	1	
WT	mitochondrial ribonuclease P complex	232	5	0	0	1	
KO	mitochondrial ribonuclease P complex	232	43	0	0	1	
WT	catenin complex	232	5	2	0	1	
KO	catenin complex	232	43	2	0	1	
WT	messenger ribonucleoprotein complex	232	5	0	0	1	
KO	messenger ribonucleoprotein complex	232	43	0	0	1	
WT	Arp2/3 protein complex	232	5	3	1	0.0635404700247278	ARPC5L
KO	Arp2/3 protein complex	232	43	3	0	1	
WT	tubulobulbar complex	232	5	0	0	1	
KO	tubulobulbar complex	232	43	0	0	1	
WT	muscle cell projection membrane	232	5	1	0	1	
KO	muscle cell projection membrane	232	43	1	0	1	
WT	growth cone leading edge	232	5	1	0	1	
KO	growth cone leading edge	232	43	1	0	1	
WT	neuromuscular junction	232	5	5	0	1	
KO	neuromuscular junction	232	43	5	1	0.64473878034552	TUBA1A
WT	nuclear euchromatin	232	5	1	0	1	
KO	nuclear euchromatin	232	43	1	0	1	
WT	perichromatin fibrils	232	5	0	0	1	
KO	perichromatin fibrils	232	43	0	0	1	
WT	beta-catenin destruction complex	232	5	1	0	1	
KO	beta-catenin destruction complex	232	43	1	0	1	
WT	nuclear pore nuclear basket	232	5	0	0	1	
KO	nuclear pore nuclear basket	232	43	0	0	1	
WT	transcription export complex 2	232	5	0	0	1	
KO	transcription export complex 2	232	43	0	0	1	
WT	SMAD protein complex	232	5	0	0	1	
KO	SMAD protein complex	232	43	0	0	1	
WT	prefoldin complex	232	5	0	0	1	
KO	prefoldin complex	232	43	0	0	1	
WT	synaptic cleft	232	5	0	0	1	
KO	synaptic cleft	232	43	0	0	1	
WT	laminin-10 complex	232	5	2	0	1	
KO	laminin-10 complex	232	43	2	1	0.336990595611285	LAMC1
WT	laminin-11 complex	232	5	1	0	1	
KO	laminin-11 complex	232	43	1	1	0.185344827586207	LAMC1
WT	U2-type catalytic step 1 spliceosome	232	5	1	0	1	
KO	U2-type catalytic step 1 spliceosome	232	43	1	0	1	
WT	mitochondrial ribosome	232	5	0	0	1	
KO	mitochondrial ribosome	232	43	0	0	1	
WT	mitochondrial small ribosomal subunit	232	5	0	0	1	
KO	mitochondrial small ribosomal subunit	232	43	0	0	1	
WT	endoplasmic reticulum-Golgi intermediate compartment	232	5	2	0	1	
KO	endoplasmic reticulum-Golgi intermediate compartment	232	43	2	1	0.336990595611285	HSPA5
WT	serine C-palmitoyltransferase complex	232	5	0	0	1	
KO	serine C-palmitoyltransferase complex	232	43	0	0	1	
WT	SPOTS complex	232	5	0	0	1	
KO	SPOTS complex	232	43	0	0	1	
WT	histone acetyltransferase complex	232	5	0	0	1	
KO	histone acetyltransferase complex	232	43	0	0	1	
WT	protein N-acetylglucosaminyltransferase complex	232	5	0	0	1	
KO	protein N-acetylglucosaminyltransferase complex	232	43	0	0	1	
WT	new growing cell tip	232	5	0	0	1	
KO	new growing cell tip	232	43	0	0	1	
WT	replication fork	232	5	0	0	1	
KO	replication fork	232	43	0	0	1	
WT	Rad51B-Rad51C-Rad51D-XRCC2 complex	232	5	0	0	1	
KO	Rad51B-Rad51C-Rad51D-XRCC2 complex	232	43	0	0	1	
WT	proton-transporting V-type ATPase, V0 domain	232	5	0	0	1	
KO	proton-transporting V-type ATPase, V0 domain	232	43	0	0	1	
WT	protein-DNA complex	232	5	3	0	1	
KO	protein-DNA complex	232	43	3	0	1	
WT	eukaryotic translation initiation factor 3 complex, eIF3m	232	5	0	0	1	
KO	eukaryotic translation initiation factor 3 complex, eIF3m	232	43	0	0	1	
WT	transcriptional repressor complex	232	5	1	0	1	
KO	transcriptional repressor complex	232	43	1	0	1	
