Test	Dataset	DegType	CellType	PopCount	IntCount	DegCount	OverlapCount	P	OverlapGenes
Global	CTNNB1	All	L4	36254	24	105	2	0.0021996746380562194	PPFIA2,CDH2
Conditional	CTNNB1	All	L4	1448	24	8	2	0.006939792202122263	PPFIA2,CDH2
Global	CTNNB1	All	L5/6	36254	24	8	1	0.0052842218776208184	CDH9
Conditional	CTNNB1	All	L5/6	1448	24	2	1	0.03288571897658329	CDH9
Global	CTNNB1	All	L5/6-CC	36254	24	19	1	0.012506350509457887	CDH10
Conditional	CTNNB1	All	L5/6-CC	1448	24	6	1	0.09557502574649224	CDH10
Global	CTNNB1	All	Neu-mat	36254	24	3	0	1.0	
Conditional	CTNNB1	All	Neu-mat	1448	24	0	0	1.0	
Global	CTNNB1	All	Neu-NRGN-I	36254	24	13	0	1.0	
Conditional	CTNNB1	All	Neu-NRGN-I	1448	24	3	0	1.0	
Global	CTNNB1	All	Neu-NRGN-II	36254	24	26	0	1.0	
Conditional	CTNNB1	All	Neu-NRGN-II	1448	24	1	0	1.0	
Global	CTNNB1	All	IN-PV	36254	24	27	0	1.0	
Conditional	CTNNB1	All	IN-PV	1448	24	4	0	1.0	
Global	CTNNB1	All	IN-SST	36254	24	29	1	0.019028293398159965	CDH2
Conditional	CTNNB1	All	IN-SST	1448	24	4	1	0.06473360358304296	CDH2
Global	CTNNB1	All	IN-VIP	36254	24	79	2	0.0012543373977739072	CDH10,CDH2
Conditional	CTNNB1	All	IN-VIP	1448	24	8	2	0.006939792202122263	CDH10,CDH2
Global	CTNNB1	All	IN-SV2C	36254	24	32	1	0.020976813102658816	CTNNA1
Conditional	CTNNB1	All	IN-SV2C	1448	24	5	1	0.08027819742930814	CTNNA1
Global	CTNNB1	All	Microglia	36254	24	78	0	1.0	
Conditional	CTNNB1	All	Microglia	1448	24	13	0	1.0	
Global	CTNNB1	All	AST-PP	36254	24	59	0	1.0	
Conditional	CTNNB1	All	AST-PP	1448	24	8	0	1.0	
Global	CTNNB1	All	AST-FB	36254	24	15	0	1.0	
Conditional	CTNNB1	All	AST-FB	1448	24	1	0	1.0	
Global	CTNNB1	All	Oligodendrocytes	36254	24	16	0	1.0	
Conditional	CTNNB1	All	Oligodendrocytes	1448	24	3	0	1.0	
Global	CTNNB1	All	OPC	36254	24	3	0	1.0	
Conditional	CTNNB1	All	OPC	1448	24	0	0	1.0	
Global	CTNNB1	All	Endothelial	36254	24	59	0	1.0	
Conditional	CTNNB1	All	Endothelial	1448	24	6	0	1.0	
Global	CTNNB1	Up	L2/3	36254	24	61	2	0.0007504653475295728	CDH9,CDH2
Conditional	CTNNB1	Up	L2/3	1448	24	11	2	0.013223351266741195	CDH9,CDH2
Global	CTNNB1	Up	L4	36254	24	65	2	0.0008516108968446613	PPFIA2,CDH2
Conditional	CTNNB1	Up	L4	1448	24	6	2	0.003794055843387842	PPFIA2,CDH2
Global	CTNNB1	Up	L5/6	36254	24	5	1	0.0033057822341042947	CDH9
Conditional	CTNNB1	Up	L5/6	1448	24	1	1	0.016574585635359115	CDH9
Global	CTNNB1	Up	L5/6-CC	36254	24	14	1	0.009229816363442417	CDH10
Conditional	CTNNB1	Up	L5/6-CC	1448	24	4	1	0.06473360358304296	CDH10
Global	CTNNB1	Up	Neu-mat	36254	24	1	0	1.0	
Conditional	CTNNB1	Up	Neu-mat	1448	24	0	0	1.0	
Global	CTNNB1	Up	Neu-NRGN-I	36254	24	7	0	1.0	
Conditional	CTNNB1	Up	Neu-NRGN-I	1448	24	1	0	1.0	
Global	CTNNB1	Up	Neu-NRGN-II	36254	24	17	0	1.0	
Conditional	CTNNB1	Up	Neu-NRGN-II	1448	24	0	0	1.0	
Global	CTNNB1	Up	IN-PV	36254	24	19	0	1.0	
Conditional	CTNNB1	Up	IN-PV	1448	24	3	0	1.0	
Global	CTNNB1	Up	IN-SST	36254	24	21	1	0.013814054425308692	CDH2
Conditional	CTNNB1	Up	IN-SST	1448	24	3	1	0.04893740828817527	CDH2
Global	CTNNB1	Up	IN-VIP	36254	24	58	2	0.0006787013653234236	CDH10,CDH2
Conditional	CTNNB1	Up	IN-VIP	1448	24	6	2	0.003794055843387842	CDH10,CDH2
Global	CTNNB1	Up	IN-SV2C	36254	24	11	0	1.0	
Conditional	CTNNB1	Up	IN-SV2C	1448	24	2	0	1.0	
Global	CTNNB1	Up	Microglia	36254	24	58	0	1.0	
Conditional	CTNNB1	Up	Microglia	1448	24	9	0	1.0	
Global	CTNNB1	Up	AST-PP	36254	24	45	0	1.0	
Conditional	CTNNB1	Up	AST-PP	1448	24	7	0	1.0	
Global	CTNNB1	Up	AST-FB	36254	24	13	0	1.0	
Conditional	CTNNB1	Up	AST-FB	1448	24	1	0	1.0	
Global	CTNNB1	Up	Oligodendrocytes	36254	24	6	0	1.0	
Conditional	CTNNB1	Up	Oligodendrocytes	1448	24	1	0	1.0	
Global	CTNNB1	Up	OPC	36254	24	1	0	1.0	
Conditional	CTNNB1	Up	OPC	1448	24	0	0	1.0	
Global	CTNNB1	Up	Endothelial	36254	24	33	0	1.0	
Conditional	CTNNB1	Up	Endothelial	1448	24	1	0	1.0	
Global	CTNNB1	Down	L2/3	36254	24	46	0	1.0	
Conditional	CTNNB1	Down	L2/3	1448	24	8	0	1.0	
Global	CTNNB1	Down	L4	36254	24	40	0	1.0	
Conditional	CTNNB1	Down	L4	1448	24	2	0	1.0	
Global	CTNNB1	Down	L5/6	36254	24	3	0	1.0	
Conditional	CTNNB1	Down	L5/6	1448	24	1	0	1.0	
Global	CTNNB1	Down	L5/6-CC	36254	24	5	0	1.0	
Conditional	CTNNB1	Down	L5/6-CC	1448	24	2	0	1.0	
Global	CTNNB1	Down	Neu-mat	36254	24	2	0	1.0	
Conditional	CTNNB1	Down	Neu-mat	1448	24	0	0	1.0	
Global	CTNNB1	Down	Neu-NRGN-I	36254	24	6	0	1.0	
Conditional	CTNNB1	Down	Neu-NRGN-I	1448	24	2	0	1.0	
Global	CTNNB1	Down	Neu-NRGN-II	36254	24	9	0	1.0	
Conditional	CTNNB1	Down	Neu-NRGN-II	1448	24	1	0	1.0	
Global	CTNNB1	Down	IN-PV	36254	24	8	0	1.0	
Conditional	CTNNB1	Down	IN-PV	1448	24	1	0	1.0	
Global	CTNNB1	Down	IN-SST	36254	24	8	0	1.0	
Conditional	CTNNB1	Down	IN-SST	1448	24	1	0	1.0	
Global	CTNNB1	Down	IN-VIP	36254	24	21	0	1.0	
Conditional	CTNNB1	Down	IN-VIP	1448	24	2	0	1.0	
Global	CTNNB1	Down	IN-SV2C	36254	24	21	1	0.013814054425308692	CTNNA1
Conditional	CTNNB1	Down	IN-SV2C	1448	24	3	1	0.04893740828817527	CTNNA1
Global	CTNNB1	Down	Microglia	36254	24	20	0	1.0	
Conditional	CTNNB1	Down	Microglia	1448	24	4	0	1.0	
Global	CTNNB1	Down	AST-PP	36254	24	14	0	1.0	
Conditional	CTNNB1	Down	AST-PP	1448	24	1	0	1.0	
Global	CTNNB1	Down	AST-FB	36254	24	2	0	1.0	
Conditional	CTNNB1	Down	AST-FB	1448	24	0	0	1.0	
Global	CTNNB1	Down	Oligodendrocytes	36254	24	10	0	1.0	
Conditional	CTNNB1	Down	Oligodendrocytes	1448	24	2	0	1.0	
Global	CTNNB1	Down	OPC	36254	24	2	0	1.0	
Conditional	CTNNB1	Down	OPC	1448	24	0	0	1.0	
Global	CTNNB1	Down	Endothelial	36254	24	26	0	1.0	
Conditional	CTNNB1	Down	Endothelial	1448	24	5	0	1.0	
Global	DYRK1A	All	L2/3	36254	583	107	10	9.31060665974098e-06	TRAF3,CPE,RPL34,NLGN1,SUGP2,HSP90AA1,RPLP2,CIRBP,HNRNPDL,RAB3C
Conditional	DYRK1A	All	L2/3	1667	583	22	10	0.2062138432597595	TRAF3,CPE,RPL34,NLGN1,SUGP2,HSP90AA1,CIRBP,RPLP2,HNRNPDL,RAB3C
Global	DYRK1A	All	L4	36254	583	105	4	0.0896100099805801	RAB3C,BDP1,CIRBP,UNC5C
Conditional	DYRK1A	All	L4	1667	583	13	4	0.7219560190846449	RAB3C,BDP1,CIRBP,UNC5C
Global	DYRK1A	All	L5/6	36254	583	8	1	0.1216464720310544	CIRBP
Conditional	DYRK1A	All	L5/6	1667	583	1	1	0.34973005398920215	CIRBP
Global	DYRK1A	All	L5/6-CC	36254	583	19	2	0.036849978171187604	RPL8,CIRBP
Conditional	DYRK1A	All	L5/6-CC	1667	583	4	2	0.43656589547546854	CIRBP,RPL8
Global	DYRK1A	All	Neu-mat	36254	583	3	0	1.0	
Conditional	DYRK1A	All	Neu-mat	1667	583	0	0	1.0	
Global	DYRK1A	All	Neu-NRGN-I	36254	583	13	1	0.19005350863072662	CFL1
Conditional	DYRK1A	All	Neu-NRGN-I	1667	583	2	1	0.577285503283497	CFL1
Global	DYRK1A	All	Neu-NRGN-II	36254	583	26	3	0.008169481418504203	RAB3C,AP2S1,CADM2
Conditional	DYRK1A	All	Neu-NRGN-II	1667	583	4	3	0.12595093310781053	RAB3C,AP2S1,CADM2
Global	DYRK1A	All	IN-PV	36254	583	27	3	0.009082442849723732	ATP1A3,CIRBP,APLP2
Conditional	DYRK1A	All	IN-PV	1667	583	5	3	0.23447005104864602	CIRBP,ATP1A3,APLP2
Global	DYRK1A	All	IN-SST	36254	583	29	2	0.07882910550314158	CADM2,CIRBP
Conditional	DYRK1A	All	IN-SST	1667	583	7	2	0.7663044924631337	CADM2,CIRBP
Global	DYRK1A	All	IN-VIP	36254	583	79	6	0.0017368395079387791	RIMS2,ELAVL2,EPHA5,CIRBP,RAB3C,G3BP2
Conditional	DYRK1A	All	IN-VIP	1667	583	18	6	0.645055750550553	RIMS2,ELAVL2,EPHA5,CIRBP,RAB3C,G3BP2
Global	DYRK1A	All	IN-SV2C	36254	583	32	3	0.014517888469421413	ELAVL1,ELAVL4,CIRBP
Conditional	DYRK1A	All	IN-SV2C	1667	583	4	3	0.12595093310781053	CIRBP,ELAVL4,ELAVL1
Global	DYRK1A	All	Microglia	36254	583	78	5	0.008523010202301489	NEDD4L,PTBP2,CIRBP,CDC27,CKB
Conditional	DYRK1A	All	Microglia	1667	583	13	5	0.49884889436886476	NEDD4L,PTBP2,CIRBP,CDC27,CKB
Global	DYRK1A	All	AST-PP	36254	583	59	5	0.0025894717507415955	REPS1,PDCD6IP,CADM2,CIRBP,ZMYND8
Conditional	DYRK1A	All	AST-PP	1667	583	9	5	0.17065442551065238	REPS1,PDCD6IP,CADM2,CIRBP,ZMYND8
Global	DYRK1A	All	AST-FB	36254	583	15	0	1.0	
Conditional	DYRK1A	All	AST-FB	1667	583	1	0	1.0	
Global	DYRK1A	All	Oligodendrocytes	36254	583	16	2	0.026689039728377547	CFL1,CIRBP
Conditional	DYRK1A	All	Oligodendrocytes	1667	583	3	2	0.28125841429163956	CFL1,CIRBP
Global	DYRK1A	All	OPC	36254	583	3	0	1.0	
Conditional	DYRK1A	All	OPC	1667	583	0	0	1.0	
Global	DYRK1A	All	Endothelial	36254	583	59	5	0.0025894717507415955	SFPQ,PDZD2,AKAP12,PDE5A,LAMA2
Conditional	DYRK1A	All	Endothelial	1667	583	8	5	0.10524242510385894	SFPQ,PDZD2,AKAP12,PDE5A,LAMA2
Global	DYRK1A	Up	L2/3	36254	583	61	5	0.0029975882776079473	CPE,RPL34,NLGN1,HSP90AA1,RAB3C
Conditional	DYRK1A	Up	L2/3	1667	583	12	5	0.4157339939618064	CPE,RPL34,NLGN1,HSP90AA1,RAB3C
Global	DYRK1A	Up	L4	36254	583	65	2	0.28102454265381743	RAB3C,UNC5C
Conditional	DYRK1A	Up	L4	1667	583	7	2	0.7663044924631337	RAB3C,UNC5C
Global	DYRK1A	Up	L5/6	36254	583	5	0	1.0	
Conditional	DYRK1A	Up	L5/6	1667	583	0	0	1.0	
Global	DYRK1A	Up	L5/6-CC	36254	583	14	0	1.0	
Conditional	DYRK1A	Up	L5/6-CC	1667	583	2	0	1.0	
Global	DYRK1A	Up	Neu-mat	36254	583	1	0	1.0	
Conditional	DYRK1A	Up	Neu-mat	1667	583	0	0	1.0	
Global	DYRK1A	Up	Neu-NRGN-I	36254	583	7	0	1.0	
Conditional	DYRK1A	Up	Neu-NRGN-I	1667	583	0	0	1.0	
Global	DYRK1A	Up	Neu-NRGN-II	36254	583	17	2	0.029930501057605405	RAB3C,CADM2
Conditional	DYRK1A	Up	Neu-NRGN-II	1667	583	3	2	0.28125841429163956	RAB3C,CADM2
Global	DYRK1A	Up	IN-PV	36254	583	19	2	0.036849978171187604	ATP1A3,APLP2
Conditional	DYRK1A	Up	IN-PV	1667	583	4	2	0.43656589547546854	ATP1A3,APLP2
Global	DYRK1A	Up	IN-SST	36254	583	21	1	0.28861401426477634	CADM2
Conditional	DYRK1A	Up	IN-SST	1667	583	5	1	0.8841051752442599	CADM2
Global	DYRK1A	Up	IN-VIP	36254	583	58	5	0.00240127230088198	RIMS2,ELAVL2,EPHA5,RAB3C,G3BP2
Conditional	DYRK1A	Up	IN-VIP	1667	583	14	5	0.576949876962841	RIMS2,ELAVL2,EPHA5,RAB3C,G3BP2
Global	DYRK1A	Up	IN-SV2C	36254	583	11	1	0.16335325694710456	ELAVL4
Conditional	DYRK1A	Up	IN-SV2C	1667	583	2	1	0.577285503283497	ELAVL4
Global	DYRK1A	Up	Microglia	36254	583	58	2	0.23926664546895418	NEDD4L,PTBP2
Conditional	DYRK1A	Up	Microglia	1667	583	10	2	0.9144231583678641	NEDD4L,PTBP2
Global	DYRK1A	Up	AST-PP	36254	583	45	3	0.03566398719273487	REPS1,ZMYND8,CADM2
Conditional	DYRK1A	Up	AST-PP	1667	583	7	3	0.4671646742726238	REPS1,CADM2,ZMYND8
Global	DYRK1A	Up	AST-FB	36254	583	13	0	1.0	
Conditional	DYRK1A	Up	AST-FB	1667	583	1	0	1.0	
Global	DYRK1A	Up	Oligodendrocytes	36254	583	6	0	1.0	
Conditional	DYRK1A	Up	Oligodendrocytes	1667	583	1	0	1.0	
Global	DYRK1A	Up	OPC	36254	583	1	0	1.0	
Conditional	DYRK1A	Up	OPC	1667	583	0	0	1.0	
Global	DYRK1A	Up	Endothelial	36254	583	33	3	0.01578260009409191	PDE5A,LAMA2,PDZD2
Conditional	DYRK1A	Up	Endothelial	1667	583	3	3	0.04263269989654124	PDE5A,LAMA2,PDZD2
Global	DYRK1A	Down	L2/3	36254	583	46	5	0.000840981629578441	TRAF3,SUGP2,CIRBP,RPLP2,HNRNPDL
Conditional	DYRK1A	Down	L2/3	1667	583	10	5	0.24734979872585514	TRAF3,SUGP2,CIRBP,RPLP2,HNRNPDL
Global	DYRK1A	Down	L4	36254	583	40	2	0.13527167941238447	BDP1,CIRBP
Conditional	DYRK1A	Down	L4	1667	583	6	2	0.680835972980131	BDP1,CIRBP
Global	DYRK1A	Down	L5/6	36254	583	3	1	0.0474726051560795	CIRBP
Conditional	DYRK1A	Down	L5/6	1667	583	1	1	0.34973005398920215	CIRBP
Global	DYRK1A	Down	L5/6-CC	36254	583	5	2	0.002499855238001842	CIRBP,RPL8
Conditional	DYRK1A	Down	L5/6-CC	1667	583	2	2	0.12217460469490735	CIRBP,RPL8
Global	DYRK1A	Down	Neu-mat	36254	583	2	0	1.0	
Conditional	DYRK1A	Down	Neu-mat	1667	583	0	0	1.0	
Global	DYRK1A	Down	Neu-NRGN-I	36254	583	6	1	0.09269524382195156	CFL1
Conditional	DYRK1A	Down	Neu-NRGN-I	1667	583	2	1	0.577285503283497	CFL1
Global	DYRK1A	Down	Neu-NRGN-II	36254	583	9	1	0.13577437874644085	AP2S1
Conditional	DYRK1A	Down	Neu-NRGN-II	1667	583	1	1	0.34973005398920215	AP2S1
Global	DYRK1A	Down	IN-PV	36254	583	8	1	0.1216464720310544	CIRBP
Conditional	DYRK1A	Down	IN-PV	1667	583	1	1	0.34973005398920215	CIRBP
Global	DYRK1A	Down	IN-SST	36254	583	8	1	0.1216464720310544	CIRBP
Conditional	DYRK1A	Down	IN-SST	1667	583	2	1	0.577285503283497	CIRBP
Global	DYRK1A	Down	IN-VIP	36254	583	21	1	0.28861401426477634	CIRBP
Conditional	DYRK1A	Down	IN-VIP	1667	583	4	1	0.8215434318807446	CIRBP
Global	DYRK1A	Down	IN-SV2C	36254	583	21	2	0.044315155232593814	ELAVL1,CIRBP
Conditional	DYRK1A	Down	IN-SV2C	1667	583	2	2	0.12217460469490735	CIRBP,ELAVL1
Global	DYRK1A	Down	Microglia	36254	583	20	3	0.0038466648889385483	CKB,CDC27,CIRBP
Conditional	DYRK1A	Down	Microglia	1667	583	3	3	0.04263269989654124	CIRBP,CDC27,CKB
Global	DYRK1A	Down	AST-PP	36254	583	14	2	0.020671194177821862	CIRBP,PDCD6IP
Conditional	DYRK1A	Down	AST-PP	1667	583	2	2	0.12217460469490735	PDCD6IP,CIRBP
Global	DYRK1A	Down	AST-FB	36254	583	2	0	1.0	
Conditional	DYRK1A	Down	AST-FB	1667	583	0	0	1.0	
Global	DYRK1A	Down	Oligodendrocytes	36254	583	10	2	0.010664933727336897	CFL1,CIRBP
Conditional	DYRK1A	Down	Oligodendrocytes	1667	583	2	2	0.12217460469490735	CFL1,CIRBP
Global	DYRK1A	Down	OPC	36254	583	2	0	1.0	
Conditional	DYRK1A	Down	OPC	1667	583	0	0	1.0	
Global	DYRK1A	Down	Endothelial	36254	583	26	2	0.06509679076484022	AKAP12,SFPQ
Conditional	DYRK1A	Down	Endothelial	1667	583	5	2	0.5712964584266838	AKAP12,SFPQ
Global	GIGYF1	All	L2/3	36254	30	107	0	1.0	
Conditional	GIGYF1	All	L2/3	950	30	15	0	1.0	
Global	GIGYF1	All	L4	36254	30	105	0	1.0	
Conditional	GIGYF1	All	L4	950	30	8	0	1.0	
Global	GIGYF1	All	L5/6	36254	30	8	0	1.0	
Conditional	GIGYF1	All	L5/6	950	30	2	0	1.0	
Global	GIGYF1	All	L5/6-CC	36254	30	19	0	1.0	
Conditional	GIGYF1	All	L5/6-CC	950	30	6	0	1.0	
Global	GIGYF1	All	Neu-mat	36254	30	3	0	1.0	
Conditional	GIGYF1	All	Neu-mat	950	30	0	0	1.0	
Global	GIGYF1	All	Neu-NRGN-I	36254	30	13	0	1.0	
Conditional	GIGYF1	All	Neu-NRGN-I	950	30	2	0	1.0	
Global	GIGYF1	All	Neu-NRGN-II	36254	30	26	0	1.0	
Conditional	GIGYF1	All	Neu-NRGN-II	950	30	1	0	1.0	
Global	GIGYF1	All	IN-PV	36254	30	27	0	1.0	
Conditional	GIGYF1	All	IN-PV	950	30	3	0	1.0	
Global	GIGYF1	All	IN-SST	36254	30	29	0	1.0	
Conditional	GIGYF1	All	IN-SST	950	30	4	0	1.0	
Global	GIGYF1	All	IN-VIP	36254	30	79	0	1.0	
Conditional	GIGYF1	All	IN-VIP	950	30	6	0	1.0	
Global	GIGYF1	All	IN-SV2C	36254	30	32	0	1.0	
Conditional	GIGYF1	All	IN-SV2C	950	30	5	0	1.0	
Global	GIGYF1	All	Microglia	36254	30	78	0	1.0	
Conditional	GIGYF1	All	Microglia	950	30	9	0	1.0	
Global	GIGYF1	All	AST-PP	36254	30	59	0	1.0	
Conditional	GIGYF1	All	AST-PP	950	30	6	0	1.0	
Global	GIGYF1	All	AST-FB	36254	30	15	0	1.0	
Conditional	GIGYF1	All	AST-FB	950	30	0	0	1.0	
Global	GIGYF1	All	Oligodendrocytes	36254	30	16	0	1.0	
Conditional	GIGYF1	All	Oligodendrocytes	950	30	2	0	1.0	
Global	GIGYF1	All	OPC	36254	30	3	0	1.0	
Conditional	GIGYF1	All	OPC	950	30	0	0	1.0	
Global	GIGYF1	All	Endothelial	36254	30	59	0	1.0	
Conditional	GIGYF1	All	Endothelial	950	30	4	0	1.0	
Global	GIGYF1	Up	L2/3	36254	30	61	0	1.0	
Conditional	GIGYF1	Up	L2/3	950	30	8	0	1.0	
Global	GIGYF1	Up	L4	36254	30	65	0	1.0	
Conditional	GIGYF1	Up	L4	950	30	6	0	1.0	
Global	GIGYF1	Up	L5/6	36254	30	5	0	1.0	
Conditional	GIGYF1	Up	L5/6	950	30	1	0	1.0	
Global	GIGYF1	Up	L5/6-CC	36254	30	14	0	1.0	
Conditional	GIGYF1	Up	L5/6-CC	950	30	4	0	1.0	
Global	GIGYF1	Up	Neu-mat	36254	30	1	0	1.0	
Conditional	GIGYF1	Up	Neu-mat	950	30	0	0	1.0	
Global	GIGYF1	Up	Neu-NRGN-I	36254	30	7	0	1.0	
Conditional	GIGYF1	Up	Neu-NRGN-I	950	30	0	0	1.0	
Global	GIGYF1	Up	Neu-NRGN-II	36254	30	17	0	1.0	
Conditional	GIGYF1	Up	Neu-NRGN-II	950	30	0	0	1.0	
Global	GIGYF1	Up	IN-PV	36254	30	19	0	1.0	
Conditional	GIGYF1	Up	IN-PV	950	30	2	0	1.0	
Global	GIGYF1	Up	IN-SST	36254	30	21	0	1.0	
Conditional	GIGYF1	Up	IN-SST	950	30	3	0	1.0	
Global	GIGYF1	Up	IN-VIP	36254	30	58	0	1.0	
Conditional	GIGYF1	Up	IN-VIP	950	30	4	0	1.0	
Global	GIGYF1	Up	IN-SV2C	36254	30	11	0	1.0	
Conditional	GIGYF1	Up	IN-SV2C	950	30	2	0	1.0	
Global	GIGYF1	Up	Microglia	36254	30	58	0	1.0	
Conditional	GIGYF1	Up	Microglia	950	30	6	0	1.0	
Global	GIGYF1	Up	AST-PP	36254	30	45	0	1.0	
Conditional	GIGYF1	Up	AST-PP	950	30	5	0	1.0	
Global	GIGYF1	Up	AST-FB	36254	30	13	0	1.0	
Conditional	GIGYF1	Up	AST-FB	950	30	0	0	1.0	
Global	GIGYF1	Up	Oligodendrocytes	36254	30	6	0	1.0	
Conditional	GIGYF1	Up	Oligodendrocytes	950	30	0	0	1.0	
Global	GIGYF1	Up	OPC	36254	30	1	0	1.0	
Conditional	GIGYF1	Up	OPC	950	30	0	0	1.0	
Global	GIGYF1	Up	Endothelial	36254	30	33	0	1.0	
Conditional	GIGYF1	Up	Endothelial	950	30	1	0	1.0	
Global	GIGYF1	Down	L2/3	36254	30	46	0	1.0	
Conditional	GIGYF1	Down	L2/3	950	30	7	0	1.0	
Global	GIGYF1	Down	L4	36254	30	40	0	1.0	
Conditional	GIGYF1	Down	L4	950	30	2	0	1.0	
Global	GIGYF1	Down	L5/6	36254	30	3	0	1.0	
Conditional	GIGYF1	Down	L5/6	950	30	1	0	1.0	
Global	GIGYF1	Down	L5/6-CC	36254	30	5	0	1.0	
Conditional	GIGYF1	Down	L5/6-CC	950	30	2	0	1.0	
Global	GIGYF1	Down	Neu-mat	36254	30	2	0	1.0	
Conditional	GIGYF1	Down	Neu-mat	950	30	0	0	1.0	
Global	GIGYF1	Down	Neu-NRGN-I	36254	30	6	0	1.0	
Conditional	GIGYF1	Down	Neu-NRGN-I	950	30	2	0	1.0	
Global	GIGYF1	Down	Neu-NRGN-II	36254	30	9	0	1.0	
Conditional	GIGYF1	Down	Neu-NRGN-II	950	30	1	0	1.0	
Global	GIGYF1	Down	IN-PV	36254	30	8	0	1.0	
Conditional	GIGYF1	Down	IN-PV	950	30	1	0	1.0	
Global	GIGYF1	Down	IN-SST	36254	30	8	0	1.0	
Conditional	GIGYF1	Down	IN-SST	950	30	1	0	1.0	
Global	GIGYF1	Down	IN-VIP	36254	30	21	0	1.0	
Conditional	GIGYF1	Down	IN-VIP	950	30	2	0	1.0	
Global	GIGYF1	Down	IN-SV2C	36254	30	21	0	1.0	
Conditional	GIGYF1	Down	IN-SV2C	950	30	3	0	1.0	
Global	GIGYF1	Down	Microglia	36254	30	20	0	1.0	
Conditional	GIGYF1	Down	Microglia	950	30	3	0	1.0	
Global	GIGYF1	Down	AST-PP	36254	30	14	0	1.0	
Conditional	GIGYF1	Down	AST-PP	950	30	1	0	1.0	
Global	GIGYF1	Down	AST-FB	36254	30	2	0	1.0	
Conditional	GIGYF1	Down	AST-FB	950	30	0	0	1.0	
Global	GIGYF1	Down	Oligodendrocytes	36254	30	10	0	1.0	
Conditional	GIGYF1	Down	Oligodendrocytes	950	30	2	0	1.0	
Global	GIGYF1	Down	OPC	36254	30	2	0	1.0	
Conditional	GIGYF1	Down	OPC	950	30	0	0	1.0	
Global	GIGYF1	Down	Endothelial	36254	30	26	0	1.0	
Conditional	GIGYF1	Down	Endothelial	950	30	3	0	1.0	
Global	MED13L	All	L2/3	36254	44	107	0	1.0	
Conditional	MED13L	All	L2/3	1210	44	18	0	1.0	
Global	MED13L	All	L4	36254	44	105	1	0.11987819330921018	PPFIA2
Conditional	MED13L	All	L4	1210	44	8	1	0.2571098513522677	PPFIA2
Global	MED13L	All	L5/6	36254	44	8	0	1.0	
Conditional	MED13L	All	L5/6	1210	44	2	0	1.0	
Global	MED13L	All	L5/6-CC	36254	44	19	0	1.0	
Conditional	MED13L	All	L5/6-CC	1210	44	6	0	1.0	
Global	MED13L	All	Neu-mat	36254	44	3	0	1.0	
Conditional	MED13L	All	Neu-mat	1210	44	0	0	1.0	
Global	MED13L	All	Neu-NRGN-I	36254	44	13	0	1.0	
Conditional	MED13L	All	Neu-NRGN-I	1210	44	2	0	1.0	
Global	MED13L	All	Neu-NRGN-II	36254	44	26	0	1.0	
Conditional	MED13L	All	Neu-NRGN-II	1210	44	1	0	1.0	
Global	MED13L	All	IN-PV	36254	44	27	0	1.0	
Conditional	MED13L	All	IN-PV	1210	44	4	0	1.0	
Global	MED13L	All	IN-SST	36254	44	29	0	1.0	
Conditional	MED13L	All	IN-SST	1210	44	4	0	1.0	
Global	MED13L	All	IN-VIP	36254	44	79	0	1.0	
Conditional	MED13L	All	IN-VIP	1210	44	8	0	1.0	
Global	MED13L	All	IN-SV2C	36254	44	32	0	1.0	
Conditional	MED13L	All	IN-SV2C	1210	44	5	0	1.0	
Global	MED13L	All	Microglia	36254	44	78	1	0.0904667330916948	FTH1
Conditional	MED13L	All	Microglia	1210	44	12	1	0.3601790862470025	FTH1
Global	MED13L	All	AST-PP	36254	44	59	1	0.06919622259322462	PACS1
Conditional	MED13L	All	AST-PP	1210	44	8	1	0.2571098513522677	PACS1
Global	MED13L	All	AST-FB	36254	44	15	0	1.0	
Conditional	MED13L	All	AST-FB	1210	44	1	0	1.0	
Global	MED13L	All	Oligodendrocytes	36254	44	16	0	1.0	
Conditional	MED13L	All	Oligodendrocytes	1210	44	3	0	1.0	
Global	MED13L	All	OPC	36254	44	3	0	1.0	
Conditional	MED13L	All	OPC	1210	44	0	0	1.0	
Global	MED13L	All	Endothelial	36254	44	59	0	1.0	
Conditional	MED13L	All	Endothelial	1210	44	5	0	1.0	
Global	MED13L	Up	L2/3	36254	44	61	0	1.0	
Conditional	MED13L	Up	L2/3	1210	44	11	0	1.0	
Global	MED13L	Up	L4	36254	44	65	1	0.07596520933129229	PPFIA2
Conditional	MED13L	Up	L4	1210	44	6	1	0.19965858946240872	PPFIA2
Global	MED13L	Up	L5/6	36254	44	5	0	1.0	
Conditional	MED13L	Up	L5/6	1210	44	1	0	1.0	
Global	MED13L	Up	L5/6-CC	36254	44	14	0	1.0	
Conditional	MED13L	Up	L5/6-CC	1210	44	4	0	1.0	
Global	MED13L	Up	Neu-mat	36254	44	1	0	1.0	
Conditional	MED13L	Up	Neu-mat	1210	44	0	0	1.0	
Global	MED13L	Up	Neu-NRGN-I	36254	44	7	0	1.0	
Conditional	MED13L	Up	Neu-NRGN-I	1210	44	1	0	1.0	
Global	MED13L	Up	Neu-NRGN-II	36254	44	17	0	1.0	
Conditional	MED13L	Up	Neu-NRGN-II	1210	44	0	0	1.0	
Global	MED13L	Up	IN-PV	36254	44	19	0	1.0	
Conditional	MED13L	Up	IN-PV	1210	44	3	0	1.0	
