Test	Dataset	CellType	PopCount	IntCount	ExpCount	OverlapCount	P
Global	SYNGAP1	L4	36254	130	1817	32	4.181185195360697e-14
Conditional	SYNGAP1	L4	1147	130	248	32	0.21940078901444282
Global	SYNGAP1	IN-SST	36254	130	875	12	7.741343559208039e-05
Conditional	SYNGAP1	IN-SST	1147	130	121	12	0.7433486118422543
Global	SYNGAP1	Neu-mat	36254	130	211	4	0.0071601264804051
Conditional	SYNGAP1	Neu-mat	1147	130	23	4	0.2586847552365215
Global	SYNGAP1	AST-PP	36254	130	269	4	0.01625759683484181
Conditional	SYNGAP1	AST-PP	1147	130	30	4	0.4477412351300388
Global	TLK2	Neu-NRGN-II	36254	56	101	0	1.0
Conditional	TLK2	Neu-NRGN-II	1466	56	34	0	1.0
Global	TLK2	L5/6	36254	56	2400	19	1.453749627739808e-09
Conditional	TLK2	L5/6	1466	56	417	19	0.2164335658459139
Global	TLK2	Oligodendrocytes	36254	56	169	2	0.028222118413981843
Conditional	TLK2	Oligodendrocytes	1466	56	30	2	0.31917623769263
Global	TLK2	OPC	36254	56	256	4	0.0006685590851893165
Conditional	TLK2	OPC	1466	56	38	4	0.0536873407616276
Global	TLK2	AST-FB	36254	56	94	0	1.0
Conditional	TLK2	AST-FB	1466	56	13	0	1.0
Global	TLK2	Endothelial	36254	56	167	2	0.027609970415852034
Conditional	TLK2	Endothelial	1466	56	29	2	0.30480109888474033
Global	TLK2	Microglia	36254	56	73	1	0.1068131146355883
Conditional	TLK2	Microglia	1466	56	6	1	0.20871320818299635
Global	TLK2	Neu-NRGN-I	36254	56	389	6	3.0314767271751584e-05
Conditional	TLK2	Neu-NRGN-I	1466	56	119	6	0.29951918607920897
Global	TLK2	IN-VIP	36254	56	966	13	2.063661635082647e-09
Conditional	TLK2	IN-VIP	1466	56	172	13	0.010068623776797162
Global	TLK2	L5/6-CC	36254	56	4308	26	1.4834228875388122e-10
Conditional	TLK2	L5/6-CC	1466	56	708	26	0.6626132213885714
Global	TLK2	IN-SV2C	36254	56	1564	18	1.0824080043267702e-11
Conditional	TLK2	IN-SV2C	1466	56	290	18	0.017709502655158995
Global	TLK2	L2/3	36254	56	3050	21	1.8422200846866778e-09
Conditional	TLK2	L2/3	1466	56	499	21	0.33542154272992714
Global	TLK2	IN-PV	36254	56	1756	15	4.425626402460498e-08
Conditional	TLK2	IN-PV	1466	56	317	15	0.21119117559844572
Global	TLK2	L4	36254	56	1817	17	1.1182421857867275e-09
Conditional	TLK2	L4	1466	56	323	17	0.08875030780566566
Global	TLK2	IN-SST	36254	56	875	11	8.410950016451302e-08
Conditional	TLK2	IN-SST	1466	56	161	11	0.03622684909572581
Global	TLK2	Neu-mat	36254	56	211	4	0.0003231613583877588
Conditional	TLK2	Neu-mat	1466	56	33	4	0.034254997746232904
Global	TLK2	AST-PP	36254	56	269	1	0.3412293471800156
Conditional	TLK2	AST-PP	1466	56	39	1	0.7854921105493288
Global	COMBINED	Neu-NRGN-II	36254	957	101	26	9.4133107597618e-19
Conditional	COMBINED	Neu-NRGN-II	2985	957	48	26	0.0011513073516629005
Global	COMBINED	L5/6	36254	957	2400	309	1.3246477937951574e-130
Conditional	COMBINED	L5/6	2985	957	729	309	8.637204954218535e-12
Global	COMBINED	Oligodendrocytes	36254	957	169	22	8.339129424318535e-10
Conditional	COMBINED	Oligodendrocytes	2985	957	56	22	0.1527452737234476
Global	COMBINED	OPC	36254	957	256	26	5.68268890605503e-09
Conditional	COMBINED	OPC	2985	957	71	26	0.23836842587173893
Global	COMBINED	AST-FB	36254	957	94	12	7.0073944875290035e-06
Conditional	COMBINED	AST-FB	2985	957	28	12	0.15237960709933202
Global	COMBINED	Endothelial	36254	957	167	28	6.792544728564721e-15
Conditional	COMBINED	Endothelial	2985	957	45	28	2.6933684233402885e-05
Global	COMBINED	Microglia	36254	957	73	9	0.0001282654066395344
Conditional	COMBINED	Microglia	2985	957	18	9	0.08633498818639325
Global	COMBINED	Neu-NRGN-I	36254	957	389	95	3.392145606542384e-63
Conditional	COMBINED	Neu-NRGN-I	2985	957	166	95	5.277765260144062e-12
Global	COMBINED	IN-VIP	36254	957	966	133	2.0083183999001272e-56
Conditional	COMBINED	IN-VIP	2985	957	304	133	4.335886469205092e-06
Global	COMBINED	L5/6-CC	36254	957	4308	505	4.8563230669341174e-216
Conditional	COMBINED	L5/6-CC	2985	957	1223	505	2.150817135531299e-19
Global	COMBINED	IN-SV2C	36254	957	1564	225	6.879260869669586e-102
Conditional	COMBINED	IN-SV2C	2985	957	492	225	2.5442327920364075e-12
Global	COMBINED	L2/3	36254	957	3050	375	1.956145894477277e-156
Conditional	COMBINED	L2/3	2985	957	882	375	3.3681544972501375e-15
Global	COMBINED	IN-PV	36254	957	1756	232	2.1235893733716533e-97
Conditional	COMBINED	IN-PV	2985	957	548	232	1.3576291842972186e-08
Global	COMBINED	L4	36254	957	1817	244	1.7733945878059012e-104
Conditional	COMBINED	L4	2985	957	551	244	1.7088305832053614e-11
Global	COMBINED	IN-SST	36254	957	875	118	5.238861412458329e-49
Conditional	COMBINED	IN-SST	2985	957	277	118	7.123905217160085e-05
Global	COMBINED	Neu-mat	36254	957	211	28	2.6614148276116604e-12
Conditional	COMBINED	Neu-mat	2985	957	63	28	0.02522341434015436
Global	COMBINED	AST-PP	36254	957	269	27	3.7551183918028015e-09
Conditional	COMBINED	AST-PP	2985	957	78	27	0.3524170313083829
